"模块","项目ID","名称","题目或步骤数","题库版本","培训阶段","学习目标","关键安全错误标准","指南条款与适用人群","合理替代答案","审核状态","审核者","审核日期","问题与修订记录","复核者"
"病例推理","CANDIDA","吞咽痛 + 白色斑块：念珠菌性食管炎","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","HP-REF","反复根除失败的H. pylori感染","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","EGC","胃早癌：0-IIa微隆起病灶","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","GIST","黏膜下隆起：胃GIST还是平滑肌瘤？","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","MALT","H. pylori相关胃MALT淋巴瘤","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","PHG","肝硬化患者慢性贫血：门脉高压性胃病","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","UC","血便 + 里急后重：溃疡性结肠炎","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","CROHN","腹痛 + 体重下降 + 肛周病变：Crohn病","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","CDIFF","抗生素后水样腹泻：C. difficile感染","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","MICROCOL","结肠镜正常但慢性水样腹泻：显微镜下结肠炎","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","IBS","反复腹痛与排便相关：IBS还是器质性病？","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","CELIAC","缺铁贫血 + 腹胀腹泻：乳糜泻","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","ISCHEMIC-COL","老年人突发腹痛后血便：缺血性结肠炎","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","AP-BILIARY","胆源性急性胰腺炎：是不是都要急诊ERCP？","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","AP-HTG","高甘油三酯性胰腺炎","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","CHOLANGITIS","没有完整Charcot三联征的急性胆管炎","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","CBD-STONE","胆总管结石但没有胆管炎","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","PANCREAS-CA","无痛性进行性黄疸：胰头癌","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","PSC","UC患者胆汁淤积：原发性硬化性胆管炎","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","SBP","肝硬化腹水突然意识差：自发性细菌性腹膜炎","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","HE","肝硬化患者“睡反了”：肝性脑病","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"DYNAMIC_CASES","dyn-bleed","上消化道出血：从接诊到再评估","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"DYNAMIC_CASES","dyn-cholangitis","隐匿性胆管炎：识别恶化窗口","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"RESCUE_CASES","rescue-hypoxia","镇静相关低氧","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"RESCUE_CASES","rescue-perforation","术中疑似穿孔","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"RESCUE_CASES","rescue-bleeding","术中活动性出血","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"REPORT_CASES","report-egc","胃窦微隆起病灶","5","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"REPORT_CASES","report-polyp","乙状结肠息肉切除","5","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"MULTI_CASES","multi-egc","胃表浅病变：是否具备局部治疗路径","1","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"MULTI_CASES","multi-crohn","回结肠炎症：范围、活动度与组织学","1","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"MULTI_CASES","multi-bleed","间歇性消化道出血：定位与时序","1","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"内镜术式","ESD","ESD","7","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"内镜术式","EMR","EMR","7","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"内镜术式","POEM","POEM","7","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"内镜术式","APC","APC","6","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"内镜术式","ERCP","ERCP","6","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"内镜术式","EUS-FNA","EUS-FNA/FNB","7","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"内镜术式","ERAT","ERAT","7","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"内镜术式","EVL","EVL","7","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"内镜术式","CLIP","内镜夹闭","6","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
